Objective,Algorithm,ScenarioID,Description,RiseTime,SettlingTime,OvershootPct,SteadyStateError,PeakTime,ObjectiveValue
IAE,KMA,S11,Down Res+,0.4854296106227016,0.5166666666666666,0.0,-0.019630310234809656,25.019630310234817,221.76821757597742
IAE,GA,S0,Normal,0.7331276348096615,0.7666666666666666,0.0,0.022585115859616423,24.977414884140376,287.7445455536118
IAE,GA,S1,Mass+10%,0.823099084674635,0.8666666666666667,0.0,0.02422440401506165,24.97577559598494,315.15255377070025
IAE,GA,S2,Mass-10%,0.6463921410862707,0.6833333333333333,0.0,0.020945827757433477,24.979054172242567,260.9321029677627
IAE,GA,S3,Res+20%,0.761501680604928,0.8,0.0,0.025863692223747847,24.974136307776252,313.39427582581664
IAE,GA,S4,Up Normal,1.5652555130358827,1.6333333333333333,0.0,0.0697793259319539,24.930220674068053,732.9859912063298
IAE,GA,S5,Up Mass+,2.0300620526188404,2.1166666666666667,0.0,0.07613803920829199,24.9238619607917,857.1240353116556
IAE,GA,S6,Up Mass-,1.2218495977646255,1.2833333333333332,0.0,0.06342061345679184,24.936579386543215,630.5380595915634
IAE,GA,S7,Up Res+,1.6955930397317558,1.7666666666666666,0.0,0.073008096372007,24.926991903627993,776.5719011114575
IAE,GA,S8,Down Normal,0.473693749229687,0.5,0.0,-0.025107139013034185,25.02510713901304,253.44961809944934
IAE,GA,S9,Down Mass+,0.5104567922238523,0.5333333333333333,0.0,-0.02823707557007893,25.02823707557008,279.89795500917563
IAE,GA,S10,Down Mass-,0.4352158562324784,0.4666666666666667,0.0,-0.021977202261890483,25.021977202261883,226.648388889914
IAE,GA,S11,Down Res+,0.4854296106227016,0.5166666666666666,0.0,-0.021878374643680587,25.02187837464368,235.68667509411162
IAE,HOA,S0,Normal,0.7331276348096615,0.7666666666666666,0.0,0.020495485309478312,24.97950451469052,274.83923889260166
IAE,HOA,S1,Mass+10%,0.823099084674635,0.8666666666666667,0.0,0.021983102423924095,24.97801689757607,301.3368379955604
IAE,HOA,S2,Mass-10%,0.6463921410862707,0.6833333333333333,0.0,0.019007868234822922,24.98099213176518,248.93971631247055
IAE,HOA,S3,Res+20%,0.761501680604928,0.8,0.0,0.023470719578181587,24.976529280421822,298.63081162412175
IAE,HOA,S4,Up Normal,1.5652555130358827,1.6333333333333333,0.0,0.06332316559342743,24.936676834406576,693.8369270199223
IAE,HOA,S5,Up Mass+,2.0300620526188404,2.1166666666666667,0.0,0.0690935538105073,24.930906446189486,814.8142118506754
IAE,HOA,S6,Up Mass-,1.2218495977646255,1.2833333333333332,0.0,0.0575527779750864,24.94244722202492,594.7008266359377
IAE,HOA,S7,Up Res+,1.6955930397317558,1.7666666666666666,0.0,0.06625320162356019,24.933746798376447,735.7181724836337
IAE,HOA,S8,Down Normal,0.473693749229687,0.5,0.0,-0.022784166568598607,25.022784166568595,239.05697585437483
IAE,HOA,S9,Down Mass+,0.5104567922238523,0.5333333333333333,0.0,-0.025624514062936754,25.025624514062933,263.72760393369305
IAE,HOA,S10,Down Mass-,0.4352158562324784,0.4666666666666667,0.0,-0.019943818929185397,25.01994381892919,214.0354190680017
IAE,HOA,S11,Down Res+,0.4854296106227016,0.5166666666666666,0.0,-0.019854135075224377,25.01985413507523,223.15404616549233
IAE,PSO,S0,Normal,0.7331276348096615,0.7666666666666666,0.0,0.020264430066657013,24.97973556993335,273.41332077596036
IAE,PSO,S1,Mass+10%,0.823099084674635,0.8666666666666667,0.0,0.021735276567376616,24.97826472343262,299.80912115503025
IAE,PSO,S2,Mass-10%,0.6463921410862707,0.6833333333333333,0.0,0.018793583604384878,24.981206416395615,247.61363297458047
IAE,PSO,S3,Res+20%,0.761501680604928,0.8,0.0,0.023206123106568555,24.976793876893428,296.99890931450415
IAE,PSO,S4,Up Normal,1.5652555130358827,1.6333333333333333,0.0,0.06260929323276088,24.93739070676724,689.5082282441207
IAE,PSO,S5,Up Mass+,2.0300620526188404,2.1166666666666667,0.0,0.06831462902153618,24.931685370978457,810.1376276777581
IAE,PSO,S6,Up Mass-,1.2218495977646255,1.2833333333333332,0.0,0.05690395802270487,24.94309604197729,590.7380475480533
IAE,PSO,S7,Up Res+,1.6955930397317558,1.7666666666666666,0.0,0.06550629752532089,24.934493702474672,731.2006594508485
IAE,PSO,S8,Down Normal,0.473693749229687,0.5,0.0,-0.02252731014232623,25.02252731014233,237.4663544375305
IAE,PSO,S9,Down Mass+,0.5104567922238523,0.5333333333333333,0.0,-0.025335637102845254,25.025335637102845,261.9392771649789
IAE,PSO,S10,Down Mass-,0.4352158562324784,0.4666666666666667,0.0,-0.019718983041592253,25.0197189830416,212.6405432652682
IAE,PSO,S11,Down Res+,0.4854296106227016,0.5166666666666666,0.0,-0.019630310234809656,25.019630310234817,221.76821757597742
IAE,SKA,S0,Normal,0.7331276348096615,0.7666666666666666,0.0,0.020264430066657013,24.97973556993335,273.41332077596036
IAE,SKA,S1,Mass+10%,0.823099084674635,0.8666666666666667,0.0,0.021735276567376616,24.97826472343262,299.80912115503025
IAE,SKA,S2,Mass-10%,0.6463921410862707,0.6833333333333333,0.0,0.018793583604384878,24.981206416395615,247.61363297458047
IAE,SKA,S3,Res+20%,0.761501680604928,0.8,0.0,0.023206123106568555,24.976793876893428,296.99890931450415
IAE,SKA,S4,Up Normal,1.5652555130358827,1.6333333333333333,0.0,0.06260929323276088,24.93739070676724,689.5082282441207
IAE,SKA,S5,Up Mass+,2.0300620526188404,2.1166666666666667,0.0,0.06831462902153618,24.931685370978457,810.1376276777581
IAE,SKA,S6,Up Mass-,1.2218495977646255,1.2833333333333332,0.0,0.05690395802270487,24.94309604197729,590.7380475480533
IAE,SKA,S7,Up Res+,1.6955930397317558,1.7666666666666666,0.0,0.06550629752532089,24.934493702474672,731.2006594508485
IAE,SKA,S8,Down Normal,0.473693749229687,0.5,0.0,-0.02252731014232623,25.02252731014233,237.4663544375305
IAE,SKA,S9,Down Mass+,0.5104567922238523,0.5333333333333333,0.0,-0.025335637102845254,25.025335637102845,261.9392771649789
IAE,SKA,S10,Down Mass-,0.4352158562324784,0.4666666666666667,0.0,-0.019718983041592253,25.0197189830416,212.6405432652682
IAE,SKA,S11,Down Res+,0.4854296106227016,0.5166666666666666,0.0,-0.019630310234809656,25.019630310234817,221.76821757597742
ISE,KMA,S0,Normal,0.7331276348096615,0.7666666666666666,0.0,0.020264430066660566,24.979735569933343,301.6020399902145
ISE,KMA,S1,Mass+10%,0.823099084674635,0.8666666666666667,0.0,0.021735276567387274,24.978264723432613,337.04740887151826
ISE,KMA,S2,Mass-10%,0.6463921410862707,0.6833333333333333,0.0,0.01879358360439909,24.981206416395608,267.44047850755084
ISE,KMA,S3,Res+20%,0.761501680604928,0.8,0.0,0.02320612310658632,24.97679387689342,313.4116266995428
ISE,KMA,S4,Up Normal,1.5652555130358827,1.6333333333333333,0.0,0.06260929323277864,24.937390706767218,644.7794019833459
ISE,KMA,S5,Up Mass+,2.0300620526188404,2.1166666666666667,0.0,0.06831462902156815,24.93168537097844,828.4278400755599
ISE,KMA,S6,Up Mass-,1.2218495977646255,1.2833333333333332,0.0,0.05690395802271908,24.943096041977274,507.91653338193066
ISE,KMA,S7,Up Res+,1.6955930397317558,1.7666666666666666,0.0,0.06550629752535642,24.93449370247465,697.137041905436
ISE,KMA,S8,Down Normal,0.473693749229687,0.5,0.0,-0.02252731014232978,25.022527310142337,201.28927472142752
ISE,KMA,S9,Down Mass+,0.5104567922238523,0.5333333333333333,0.0,-0.025335637102845254,25.025335637102852,216.48528029330362
ISE,KMA,S10,Down Mass-,0.4352158562324784,0.4666666666666667,0.0,-0.019718983041606464,25.019718983041603,185.5219177347827
ISE,KMA,S11,Down Res+,0.4854296106227016,0.5166666666666666,0.0,-0.01963031023482742,25.019630310234824,205.10216319479784
ISE,GA,S0,Normal,0.7331276348096615,0.7666666666666666,0.0,0.020597669787786543,24.97940233021221,301.68610485641716
ISE,GA,S1,Mass+10%,0.823099084674635,0.8666666666666667,0.0,0.02209270372780381,24.977907296272196,337.1440828487805
ISE,GA,S2,Mass-10%,0.6463921410862707,0.6833333333333333,0.0,0.019102635888163633,24.98089736411183,267.5130410925524
ISE,GA,S3,Res+20%,0.761501680604928,0.8,0.0,0.023587737708211876,24.97641226229179,313.5217966123407
ISE,GA,S4,Up Normal,1.5652555130358827,1.6333333333333333,0.0,0.0636388765689766,24.936361123431016,645.567614062258
ISE,GA,S5,Up Mass+,2.0300620526188404,2.1166666666666667,0.0,0.06943803430757,24.930561965692426,829.3570917022761
ISE,GA,S6,Up Mass-,1.2218495977646255,1.2833333333333332,0.0,0.05783971943814947,24.942160280561854,508.5723638388563
ISE,GA,S7,Up Res+,1.6955930397317558,1.7666666666666666,0.0,0.0665835209282406,24.933416479071767,697.9977144853875
ISE,GA,S8,Down Normal,0.473693749229687,0.5,0.0,-0.022897761651314852,25.022897761651315,201.3935208893226
ISE,GA,S9,Down Mass+,0.5104567922238523,0.5333333333333333,0.0,-0.025752270267496158,25.025752270267493,216.6170828624787
ISE,GA,S10,Down Mass-,0.4352158562324784,0.4666666666666667,0.0,-0.020043252887887775,25.020043252887888,185.60186552177385
ISE,GA,S11,Down Res+,0.4854296106227016,0.5166666666666666,0.0,-0.019953121897021475,25.01995312189703,205.1813008873035
ISE,HOA,S0,Normal,0.7331276348096615,0.7666666666666666,0.0,0.020264430066657013,24.97973556993335,301.6020399902145
