Objective,ScenarioID,Description,Algorithm,Cost,TTC_Min,TET,TIT,Max_Jerk,ObjectiveValue
IAE,S10,Down Mass-,PSO,930863.1308844008,17.72746052123141,0.0,0.0,151.56529993367752,87140.18810900596
IAE,S10,Down Mass-,SKA,930863.1308844008,17.72746052123161,0.0,0.0,151.56529993367724,87140.18810900627
IAE,S11,Down Res+,KMA,930863.1308844008,17.63327068005125,0.0,0.0,161.9631825847624,88547.32092165336
IAE,S11,Down Res+,GA,930863.1308844008,17.677962315265926,0.0,0.0,169.9939817867428,88326.87106926288
IAE,S11,Down Res+,HOA,930863.1308844008,17.68013366527128,0.0,0.0,162.8442768520227,88599.60242294689
IAE,S11,Down Res+,PSO,930863.1308844008,17.633270679239807,0.0,0.0,161.9631825847624,88547.32092099363
IAE,S11,Down Res+,SKA,930863.1308844008,17.63327067923998,0.0,0.0,161.96318258476254,88547.32092099413
ISE,S0,Normal,KMA,930863.1308844008,18.206453526505232,0.0,0.0,114.1738965826378,516319.7247168371
ISE,S0,Normal,GA,930863.1308844008,18.066897031900172,0.0,0.0,116.21139638128334,516790.3257621275
ISE,S0,Normal,HOA,930863.1308844008,18.188064090007362,0.0,0.0,116.49918432313197,516319.8022517264
ISE,S0,Normal,PSO,930863.1308844008,18.206450510148183,0.0,0.0,114.17389658260029,516319.72471683286
ISE,S0,Normal,SKA,930863.1308844008,18.2064536821509,0.0,0.0,114.17389658260029,516319.72471683816
ISE,S1,Mass+10%,KMA,930863.1308844008,18.07791415663442,0.0,0.0,80.15864092929063,545368.3580381826
ISE,S1,Mass+10%,GA,930863.1308844008,17.915297465651264,0.0,0.0,92.20516252301931,545889.3351426335
ISE,S1,Mass+10%,HOA,930863.1308844008,18.077914156634375,0.0,0.0,80.15864092934557,545368.8193503915
ISE,S1,Mass+10%,PSO,930863.1308844008,18.077914156634375,0.0,0.0,80.15864092934557,545368.3581010195
ISE,S1,Mass+10%,SKA,930863.1308844008,18.077914156634375,0.0,0.0,80.15864092934557,545368.3580349374
ISE,S2,Mass-10%,KMA,930863.1308844008,18.368960768503392,0.0,0.0,139.0369835482947,488724.47214046546
ISE,S2,Mass-10%,GA,930863.1308844008,18.24191945578749,0.0,0.0,133.9831423352876,489150.382900608
ISE,S2,Mass-10%,HOA,930863.1308844008,18.368960768503346,0.0,0.0,139.0369835483931,488724.1440735382
ISE,S2,Mass-10%,PSO,930863.1308844008,18.368960768503346,0.0,0.0,139.0369835483931,488724.4720740634
ISE,S2,Mass-10%,SKA,930863.1308844008,18.368960768503346,0.0,0.0,139.0369835483931,488724.4721438959
ISE,S3,Res+20%,KMA,930863.1308844008,18.1720427290816,0.0,0.0,103.0584655609151,527613.1650383162
ISE,S3,Res+20%,GA,930863.1308844008,18.001132439400106,0.0,0.0,105.2758425348934,528157.2215809515
